Parameters:
num_ants = 20
num_iterations = 125
alpha = 0.9
beta = 1.3
rho = 0.15
Q = 25

Execution 1:
Best Solution: [0, 6, 4, 12, 3, 17, 15, 10, 8, 13, 19, 1, 2, 7, 11, 5, 16, 18, 14, 9]
Cost: 2922
Execution Time: 1.4223902225494385 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
56, 3064, 1157, 0.0, 4349.7, 5482
57, 3012, 1157, 0.0, 4132.7, 5431
58, 3012, 1157, 0.0, 4299.35, 5294
59, 3012, 1157, 0.0, 3950.3, 4706
60, 3012, 1157, 0.0, 4079.85, 5295
61, 3012, 1157, 0.0, 4159.95, 5332
62, 2967, 1157, 0.0, 4166.15, 5255
63, 2967, 1157, 0.0, 4363.05, 5710
64, 2967, 1157, 0.0, 4322.7, 5499
65, 2922, 1157, 0.0, 4059.05, 5446
66, 2922, 1157, 0.0, 4182.65, 4862
67, 2922, 1157, 0.0, 4053.05, 5370
68, 2922, 1157, 0.0, 3849.65, 5137
69, 2922, 1157, 0.0, 3919.45, 4987
70, 2922, 1157, 0.0, 4144.6, 5758
71, 2922, 1157, 0.0, 4149.35, 5015
72, 2922, 1157, 0.0, 4112.2, 5345
73, 2922, 1157, 0.0, 4107.55, 4773
74, 2922, 1157, 0.0, 3776.45, 6336
75, 2922, 1157, 0.0, 4296.45, 5482
76, 2922, 1157, 0.0, 4003.2, 5818
77, 2922, 1157, 0.0, 3976.15, 5024
78, 2922, 1157, 0.0, 3944.4, 6143
79, 2922, 1157, 0.0, 3980.25, 5317
80, 2922, 1157, 0.0, 4128.9, 5483
81, 2922, 1157, 0.0, 4263.85, 6196
82, 2922, 1157, 0.0, 4083.65, 5385
83, 2922, 1157, 0.0, 4238.95, 6196
84, 2922, 1157, 0.0, 4162.45, 5072
85, 2922, 1157, 0.0, 4308.1, 5700
86, 2922, 1157, 0.0, 4071.15, 5184
87, 2922, 1157, 0.0, 3976.8, 5478
88, 2922, 1157, 0.0, 4013.25, 5251
89, 2922, 1157, 0.0, 4096.75, 5812
90, 2922, 1157, 0.0, 4105.95, 4867
91, 2922, 1157, 0.0, 3935.55, 5031
92, 2922, 1157, 0.0, 3979.95, 4944
93, 2922, 1157, 0.0, 4172.3, 5434
94, 2922, 1157, 0.0, 4153.55, 5093
95, 2922, 1157, 0.0, 4094.95, 5241
96, 2922, 1157, 0.0, 3877.65, 4980
97, 2922, 1157, 0.0, 4046.35, 5708
98, 2922, 1157, 0.0, 4244.7, 4909
99, 2922, 1157, 0.0, 4216.1, 6072
100, 2922, 1157, 0.0, 3943.55, 5396
101, 2922, 1157, 0.0, 4089.85, 5355
102, 2922, 1157, 0.0, 4060.6, 5894
103, 2922, 1157, 0.0, 4061.6, 5881
104, 2922, 1157, 0.0, 4097.85, 4808
105, 2922, 1157, 0.0, 4105.05, 6175
106, 2922, 1157, 0.0, 4300.25, 5438
107, 2922, 1157, 0.0, 4052.95, 5536
108, 2922, 1157, 0.0, 4275.2, 6119
109, 2922, 1157, 0.0, 4056.9, 4889
110, 2922, 1157, 0.0, 4189.8, 5759
111, 2922, 1157, 0.0, 4199.2, 5794
112, 2922, 1157, 0.0, 4006.1, 5030
113, 2922, 1157, 0.0, 3935.0, 5443
114, 2922, 1157, 0.0, 4063.45, 5824
115, 2922, 1157, 0.0, 4394.2, 6126
116, 2922, 1157, 0.0, 4087.4, 6077
